Time,Bid_Open,Bid_Close,Ask_Open,Ask_Close
2016-11-16T22:00:00.000000000Z,1.06888,1.06227,1.06916,1.06276
2016-11-17T22:00:00.000000000Z,1.06223,1.05867,1.06271,1.05922
2016-11-20T22:00:00.000000000Z,1.05901,1.06260,1.05977,1.06315
2016-11-21T22:00:00.000000000Z,1.06228,1.06263,1.06288,1.06290
2016-11-22T22:00:00.000000000Z,1.06209,1.05498,1.06308,1.05540
2016-11-23T22:00:00.000000000Z,1.05499,1.05495,1.05556,1.05571
2016-11-24T22:00:00.000000000Z,1.05469,1.05883,1.05569,1.05983
2016-11-27T22:00:00.000000000Z,1.06079,1.06102,1.06158,1.06136
2016-11-28T22:00:00.000000000Z,1.06050,1.06483,1.06150,1.06511
2016-11-29T22:00:00.000000000Z,1.06457,1.05882,1.06557,1.05907
2016-11-30T22:00:00.000000000Z,1.05885,1.06602,1.05962,1.06633
2016-12-01T22:00:00.000000000Z,1.06577,1.06615,1.06634,1.06715
2016-12-04T22:00:00.000000000Z,1.06251,1.07630,1.06351,1.07650
2016-12-05T22:00:00.000000000Z,1.07620,1.07163,1.07653,1.07182
2016-12-06T22:00:00.000000000Z,1.07163,1.07516,1.07217,1.07550
2016-12-07T22:00:00.000000000Z,1.07524,1.06126,1.07567,1.06163
2016-12-08T22:00:00.000000000Z,1.06112,1.05578,1.06155,1.05643
2016-12-11T22:00:00.000000000Z,1.05295,1.06341,1.05353,1.06369
2016-12-12T22:00:00.000000000Z,1.06323,1.06249,1.06359,1.06274
2016-12-13T22:00:00.000000000Z,1.06208,1.05340,1.06257,1.05374
2016-12-14T22:00:00.000000000Z,1.05289,1.04120,1.05373,1.04153
2016-12-15T22:00:00.000000000Z,1.04098,1.04463,1.04146,1.04563
2016-12-18T22:00:00.000000000Z,1.04367,1.04007,1.04453,1.04035
2016-12-19T22:00:00.000000000Z,1.03977,1.03861,1.04049,1.03891
2016-12-20T22:00:00.000000000Z,1.03851,1.04226,1.03916,1.04248
2016-12-21T22:00:00.000000000Z,1.04222,1.04356,1.04305,1.04384
2016-12-22T22:00:00.000000000Z,1.04305,1.04504,1.04405,1.04604
2016-12-26T22:00:00.000000000Z,1.04508,1.04553,1.04571,1.04587
2016-12-27T22:00:00.000000000Z,1.04511,1.04115,1.04611,1.04144
2016-12-28T22:00:00.000000000Z,1.04112,1.04896,1.04161,1.04932
2016-12-29T22:00:00.000000000Z,1.04870,1.05148,1.04929,1.05248
2017-01-02T22:00:00.000000000Z,1.04656,1.04038,1.04711,1.04061
2017-01-03T22:00:00.000000000Z,1.04046,1.04877,1.04076,1.04908
2017-01-04T22:00:00.000000000Z,1.04863,1.06055,1.04911,1.06083
2017-01-05T22:00:00.000000000Z,1.05990,1.05273,1.06063,1.05373
2017-01-08T22:00:00.000000000Z,1.05279,1.05699,1.05328,1.05727
2017-01-09T22:00:00.000000000Z,1.05745,1.05531,1.05845,1.05555
2017-01-10T22:00:00.000000000Z,1.05531,1.05812,1.05575,1.05835
2017-01-11T22:00:00.000000000Z,1.05793,1.06108,1.05843,1.06143
2017-01-12T22:00:00.000000000Z,1.06113,1.06384,1.06180,1.06484
2017-01-15T22:00:00.000000000Z,1.06001,1.05956,1.06101,1.06056
2017-01-16T22:00:00.000000000Z,1.05965,1.07123,1.06046,1.07153
2017-01-17T22:00:00.000000000Z,1.07092,1.06281,1.07136,1.06305
2017-01-18T22:00:00.000000000Z,1.06264,1.06623,1.06364,1.06664
2017-01-19T22:00:00.000000000Z,1.06607,1.06973,1.06644,1.07050
2017-01-22T22:00:00.000000000Z,1.06976,1.07621,1.07053,1.07658
2017-01-23T22:00:00.000000000Z,1.07647,1.07295,1.07698,1.07332
2017-01-24T22:00:00.000000000Z,1.07274,1.07465,1.07338,1.07501
2017-01-25T22:00:00.000000000Z,1.07464,1.06807,1.07530,1.06841
2017-01-26T22:00:00.000000000Z,1.06774,1.06931,1.06820,1.07031
2017-01-29T22:00:00.000000000Z,1.07182,1.06942,1.07282,1.06971
